,10541,1063,10653,10729,1081,10821,1087,10917,1099,1105,1111,11121,1117,1123,1129,1135,1141,11421,1147,1153,1159,1165,1171,11721,11741,1183,1189,1195,1201,1207,1213,1219,12211
NAPOLI PORTA NOLANA,5:41,6:17,6:53,7:29,8:05,8:22,8:41,9:17,9:53,10:29,11:05,11:22,11:41,12:17,12:53,13:29,14:05,14:22,14:41,15:17,15:53,16:29,17:05,17:22,17:41,18:17,18:53,19:29,20:05,20:41,21:17,21:53,22:11
NAPOLI P. GARIBALDI,5:44,6:20,6:56,7:32,8:08,8:26,8:44,9:20,9:56,10:32,11:08,11:26,11:44,12:20,12:56,13:32,14:08,14:26,14:44,15:20,15:56,16:32,17:08,17:26,17:44,18:20,18:56,19:32,20:08,20:44,21:20,21:56,22:14
SAN GIORGIO A CREMANO,5:51,|,7:02,7:38,|,|,|,9:26,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,17:52,|,|,|,|,|,|,|,22:22
PORTICI BELLAVISTA,5:53,|,7:04,7:40,|,|,|,9:28,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,17:54,|,|,|,|,|,|,|,22:24
ERCOLANO,5:56,|,7:06,7:42,|,8:41,|,9:31,|,|,|,11:41,|,|,|,|,|,14:41,|,|,|,|,|,17:41,17:56,|,|,|,|,|,|,|,22:26
TORRE DEL GRECO,5:58,|,7:08,7:44,|,|,|,9:33,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,17:59,|,|,|,|,|,|,|,22:29
TORRE A.TA - OPLONTI,6:06,6:43,7:19,7:55,8:31,|,9:07,9:44,10:19,10:55,11:31,|,12:07,12:43,13:19,13:55,14:31,|,15:07,15:43,16:19,16:55,17:31,|,18:07,18:43,19:19,19:55,20:31,21:07,21:43,22:19,22:38
Villa Regina,6:09,6:46,7:22,7:58,8:34,|,9:10,9:47,10:22,10:58,11:34,|,12:10,12:46,13:22,13:58,14:34,|,15:10,15:46,16:22,16:58,17:34,|,18:10,18:46,19:22,19:58,20:34,21:10,21:46,22:22,22:41
POMPEI SCAVI VILLA DEI MISTERI,6:13,6:49,7:25,8:01,8:37,9:02,9:13,9:50,10:25,11:01,11:37,12:02,12:13,12:49,13:25,14:01,14:37,15:02,15:13,15:49,16:25,17:01,17:37,18:02,18:13,18:49,19:25,20:01,20:37,21:13,21:49,22:25,22:44
Moregine,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
PIOPPAINO,6:21,6:57,7:33,8:09,8:45,|,9:21,9:58,10:33,11:09,11:45,|,12:21,12:57,13:33,14:09,14:45,|,15:21,15:57,16:33,17:09,17:45,|,18:21,18:57,19:33,20:09,20:45,21:21,21:57,22:34,|
Via Nocera,6:27,7:03,7:39,8:15,8:51,|,9:27,10:04,10:39,11:15,11:51,|,12:27,13:03,13:39,14:15,14:51,|,15:27,16:03,16:39,17:15,17:51,|,18:27,19:03,19:39,20:15,20:51,21:27,22:03,22:40,22:56
CASTELLAMMARE DI STABIA,6:30,7:06,7:42,8:18,8:54,9:13,9:30,10:07,10:43,11:18,11:54,12:13,12:30,13:06,13:42,14:18,14:54,15:13,15:30,16:06,16:43,17:18,17:54,18:13,18:30,19:06,19:43,20:18,20:54,21:30,22:06,22:43,22:59
VICO EQUENSE,6:40,7:16,7:52,8:28,9:04,9:23,9:40,10:17,10:53,11:28,12:04,12:23,12:40,13:16,13:52,14:28,15:04,15:23,15:40,16:16,16:53,17:28,18:04,18:23,18:40,19:16,19:53,20:28,21:04,21:40,22:16,22:52,23:06
SEIANO,6:43,7:19,7:55,8:31,9:07,|,9:43,10:19,10:55,11:31,12:07,|,12:43,13:19,13:55,14:31,15:07,|,15:43,16:19,16:55,17:31,18:07,|,18:43,19:19,19:55,20:31,21:07,21:43,22:19,22:54,23:08
META,6:47,7:23,7:59,8:35,9:11,9:28,9:47,10:23,10:59,11:35,12:11,12:28,12:47,13:23,13:59,14:35,15:11,15:28,15:47,16:23,16:59,17:35,18:11,18:28,18:47,19:23,19:59,20:35,21:11,21:47,22:23,22:58,23:12
PIANO,6:49,7:25,8:01,8:37,9:13,9:31,9:49,10:26,11:01,11:37,12:13,12:31,12:49,13:25,14:01,14:37,15:13,15:31,15:49,16:25,17:01,17:37,18:13,18:31,18:49,19:25,20:01,20:37,21:13,21:49,22:25,23:00,23:14
S. Agnello,6:51,7:27,8:03,8:39,9:15,9:33,9:51,10:28,11:03,11:39,12:15,12:33,12:51,13:27,14:03,14:39,15:15,15:33,15:51,16:27,17:03,17:39,18:15,18:33,18:51,19:27,20:03,20:39,21:15,21:51,22:27,23:02,23:16
SORRENTO,6:53,7:29,8:05,8:41,9:17,9:35,9:53,10:30,11:05,11:41,12:17,12:35,12:53,13:29,14:05,14:41,15:17,15:35,15:53,16:29,17:05,17:41,18:17,18:35,18:53,19:29,20:05,20:41,21:17,21:53,22:29,23:04,23:18
